56.138 -18.929 14.476, 56.136 -18.927 14.476, 56.138 -18.929 14.476, 87.024 -19.692 14.476, 87.243 -19.448 14.476, 87.024 -19.692 14.476, 98.845 -48.449 14.476, 
98.845 -48.449 12.976, 87.024 -19.692 12.976, 87.243 -19.448 12.976, 87.024 -19.692 12.976, 56.138 -18.929 12.976, 56.136 -18.927 12.976, 56.138 -18.929 12.976, 14.857 -41.567 12.976,
14.857 -41.567 11.476, 56.138 -18.929 11.476, 56.136 -18.927 11.476, 56.138 -18.929 11.476, 87.024 -19.692 11.476, 87.243 -19.448 11.476, 87.024 -19.692 11.476, 98.845 -48.449 11.476,
98.845 -48.449 9.976, 87.024 -19.692 9.976, 87.243 -19.448 9.976, 87.024 -19.692 9.976, 56.138 -18.929 9.976, 56.136 -18.927 9.976, 56.138 -18.929 9.976, 14.857 -41.567 9.976,
14.857 -41.567 8.476, 56.138 -18.929 8.476, 56.136 -18.927 8.476, 56.138 -18.929 8.476, 87.024 -19.692 8.476, 87.243 -19.448 8.476, 87.024 -19.692 8.476, 98.845 -48.449 8.476,
98.845 -48.449 6.976, 87.024 -19.692 6.976, 87.243 -19.448 6.976, 87.024 -19.692 6.976, 56.138 -18.929 6.976, 56.136 -18.927 6.976, 56.138 -18.929 6.976, 14.857 -41.567 6.976,
14.857 -41.567 5.476, 56.138 -18.929 5.476, 56.136 -18.927 5.476, 56.138 -18.929 5.476, 87.024 -19.692 5.476, 87.243 -19.448 5.476, 87.024 -19.692 5.476, 98.845 -48.449 5.476,
98.845 -48.449 3.976, 87.024 -19.692 3.976, 87.243 -19.448 3.976, 87.024 -19.692 3.976, 56.138 -18.929 3.976, 56.136 -18.927 3.976, 56.138 -18.929 3.976, 14.857 -41.567 3.976,
14.857 -41.567 2.476, 56.138 -18.929 2.476, 56.136 -18.927 2.476, 56.138 -18.929 2.476, 87.024 -19.692 2.476, 87.243 -19.448 2.476, 87.024 -19.692 2.476, 98.845 -48.449 2.476,
98.845 -48.449 0.976, 87.024 -19.692 0.976, 87.243 -19.448 0.976, 87.024 -19.692 0.976, 56.138 -18.929 0.976, 56.136 -18.927 0.976, 56.138 -18.929 0.976, 14.857 -41.567 0.976,
14.857 -41.567 -0.524, 56.138 -18.929 -0.524, 56.136 -18.927 -0.524, 56.138 -18.929 -0.524, 87.024 -19.692 -0.524, 87.243 -19.448 -0.524, 87.024 -19.692 -0.524, 98.845 -48.449 -0.524,
98.845 -48.449 -2.024, 87.024 -19.692 -2.024, 87.243 -19.448 -2.024, 87.024 -19.692 -2.024, 56.138 -18.929 -2.024, 56.136 -18.927 -2.024, 56.138 -18.929 -2.024, 14.857 -41.567 -2.024,
14.857 -41.567 -3.524, 56.138 -18.929 -3.524, 56.136 -18.927 -3.524, 56.138 -18.929 -3.524, 87.024 -19.692 -3.524, 87.243 -19.448 -3.524, 87.024 -19.692 -3.524, 98.845 -48.449 -3.524,
98.845 -48.449 -5.024, 87.024 -19.692 -5.024, 87.243 -19.448 -5.024, 87.024 -19.692 -5.024, 56.138 -18.929 -5.024, 56.136 -18.927 -5.024, 56.138 -18.929 -5.024, 14.857 -41.567 -5.024,
14.857 -41.567 -6.524, 56.138 -18.929 -6.524, 56.136 -18.927 -6.524, 56.138 -18.929 -6.524, 87.024 -19.692 -6.524, 87.243 -19.448 -6.524, 87.024 -19.692 -6.524, 98.845 -48.449 -6.524,
98.845 -48.449 -8.024, 87.024 -19.692 -8.024, 87.243 -19.448 -8.024, 87.024 -19.692 -8.024, 56.138 -18.929 -8.024, 56.136 -18.927 -8.024, 56.138 -18.929 -8.024, 14.857 -41.567 -8.024,
14.857 -41.567 -9.524, 56.138 -18.929 -9.524, 56.136 -18.927 -9.524, 56.138 -18.929 -9.524, 87.024 -19.692 -9.524, 87.243 -19.448 -9.524, 87.024 -19.692 -9.524, 98.845 -48.449 -9.524,
98.845 -48.449 -11.024, 87.024 -19.692 -11.024, 87.243 -19.448 -11.024, 87.024 -19.692 -11.024, 56.138 -18.929 -11.024, 56.136 -18.927 -11.024, 56.138 -18.929 -11.024, 14.857 -41.567 -11.024,
14.857 -41.567 -12.524, 56.138 -18.929 -12.524, 56.136 -18.927 -12.524, 56.138 -18.929 -12.524, 87.024 -19.692 -12.524, 87.243 -19.448 -12.524, 87.024 -19.692 -12.524, 98.845 -48.449 -12.524,
98.845 -48.449 -14.024, 87.024 -19.692 -14.024, 87.243 -19.448 -14.024, 87.024 -19.692 -14.024, 56.138 -18.929 -14.024, 56.136 -18.927 -14.024, 56.138 -18.929 -14.024, 14.857 -41.567 -14.024,
14.857 -41.567 -15.524, 56.138 -18.929 -15.524, 56.136 -18.927 -15.524, 56.138 -18.929 -15.524, 87.024 -19.692 -15.524, 87.243 -19.448 -15.524, 87.024 -19.692 -15.524, 98.845 -48.449 -15.524,
98.845 -48.449 -17.024, 87.024 -19.692 -17.024, 87.243 -19.448 -17.024, 87.024 -19.692 -17.024, 56.138 -18.929 -17.024, 56.136 -18.927 -17.024, 56.138 -18.929 -17.024, 14.857 -41.567 -17.024,
14.857 -41.567 -18.524, 56.138 -18.929 -18.524, 56.136 -18.927 -18.524, 56.138 -18.929 -18.524, 87.024 -19.692 -18.524, 87.243 -19.448 -18.524, 87.024 -19.692 -18.524, 98.845 -48.449 -18.524,
98.845 -48.449 -20.024, 87.024 -19.692 -20.024, 87.243 -19.448 -20.024, 87.024 -19.692 -20.024, 56.138 -18.929 -20.024, 56.136 -18.927 -20.024, 56.138 -18.929 -20.024, 14.857 -41.567 -20.024,
14.857 -41.567 -21.524, 56.138 -18.929 -21.524, 56.136 -18.927 -21.524, 56.138 -18.929 -21.524, 87.024 -19.692 -21.524, 87.243 -19.448 -21.524, 87.024 -19.692 -21.524, 98.845 -48.449 -21.524,
98.845 -48.449 -23.024, 87.024 -19.692 -23.024, 87.243 -19.448 -23.024, 87.024 -19.692 -23.024, 56.138 -18.929 -23.024, 56.136 -18.927 -23.024, 56.138 -18.929 -23.024, 14.857 -41.567 -23.024,
14.857 -41.567 -24.524, 56.138 -18.929 -24.524, 56.136 -18.927 -24.524, 56.138 -18.929 -24.524, 87.024 -19.692 -24.524, 87.243 -19.448 -24.524, 87.024 -19.692 -24.524, 98.845 -48.449 -24.524,
98.845 -48.449 -26.024, 87.024 -19.692 -26.024, 87.243 -19.448 -26.024, 87.024 -19.692 -26.024, 56.138 -18.929 -26.024, 56.136 -18.927 -26.024, 56.138 -18.929 -26.024, 14.857 -41.567 -26.024,
14.857 -41.567 -27.524, 56.138 -18.929 -27.524, 56.136 -18.927 -27.524, 56.138 -18.929 -27.524, 87.024 -19.692 -27.524, 87.243 -19.448 -27.524, 87.024 -19.692 -27.524, 98.845 -48.449 -27.524,
98.845 -48.449 -29.024, 87.024 -19.692 -29.024, 87.243 -19.448 -29.024, 87.024 -19.692 -29.024, 56.138 -18.929 -29.024, 56.136 -18.927 -29.024, 56.138 -18.929 -29.024, 14.857 -41.567 -29.024,
14.857 -41.567 -30.524, 56.138 -18.929 -30.524, 56.136 -18.927 -30.524, 56.138 -18.929 -30.524, 87.024 -19.692 -30.524, 87.243 -19.448 -30.524, 87.024 -19.692 -30.524, 98.845 -48.449 -30.524,
98.845 -48.449 -32.024, 87.024 -19.692 -32.024, 87.243 -19.448 -32.024, 87.024 -19.692 -32.024, 56.138 -18.929 -32.024, 56.136 -18.927 -32.024, 56.138 -18.929 -32.024, 14.857 -41.567 -32.024,
14.857 -41.567 -33.524, 56.138 -18.929 -33.524, 56.136 -18.927 -33.524, 56.138 -18.929 -33.524, 87.024 -19.692 -33.524, 87.243 -19.448 -33.524, 87.024 -19.692 -33.524, 98.845 -48.449 -33.524,
98.845 -48.449 -35.024, 87.024 -19.692 -35.024, 87.243 -19.448 -35.024, 87.024 -19.692 -35.024, 56.138 -18.929 -35.024, 56.136 -18.927 -35.024, 56.138 -18.929 -35.024, 14.857 -41.567 -35.024,
14.857 -41.567 -36.524, 56.138 -18.929 -36.524, 56.136 -18.927 -36.524, 56.138 -18.929 -36.524, 87.024 -19.692 -36.524, 87.243 -19.448 -36.524, 87.024 -19.692 -36.524, 98.845 -48.449 -36.524,
