
78.149 17.683 -4.524, 77.929 17.44 -4.524, 78.149 17.683 -4.524, 109.035 16.921 -4.524, 109.037 16.918 -4.524, 109.035 16.921 -4.524, 150.316 39.558 -4.524, 
150.316 39.558 -6.024, 109.035 16.921 -6.024, 109.037 16.918 -6.024, 109.035 16.921 -6.024, 78.149 17.683 -6.024, 77.929 17.44 -6.024, 78.149 17.683 -6.024, 66.328 46.441 -6.024, 
66.328 46.441 -7.524, 78.149 17.683 -7.524, 77.929 17.44 -7.524, 78.149 17.683 -7.524, 109.035 16.921 -7.524, 109.037 16.918 -7.524, 109.035 16.921 -7.524, 150.316 39.558 -7.524, 
150.316 39.558 -9.024, 109.035 16.921 -9.024, 109.037 16.918 -9.024, 109.035 16.921 -9.024, 78.149 17.683 -9.024, 77.929 17.44 -9.024, 78.149 17.683 -9.024, 66.328 46.441 -9.024, 
66.328 46.441 -10.524, 78.149 17.683 -10.524, 77.929 17.44 -10.524, 78.149 17.683 -10.524, 109.035 16.921 -10.524, 109.037 16.918 -10.524, 109.035 16.921 -10.524, 150.316 39.558 -10.524, 
150.316 39.558 -12.024, 109.035 16.921 -12.024, 109.037 16.918 -12.024, 109.035 16.921 -12.024, 78.149 17.683 -12.024, 77.929 17.44 -12.024, 78.149 17.683 -12.024, 66.328 46.441 -12.024, 
66.328 46.441 -13.524, 78.149 17.683 -13.524, 77.929 17.44 -13.524, 78.149 17.683 -13.524, 109.035 16.921 -13.524, 109.037 16.918 -13.524, 109.035 16.921 -13.524, 150.316 39.558 -13.524, 
150.316 39.558 -15.024, 109.035 16.921 -15.024, 109.037 16.918 -15.024, 109.035 16.921 -15.024, 78.149 17.683 -15.024, 77.929 17.44 -15.024, 78.149 17.683 -15.024, 66.328 46.441 -15.024, 
66.328 46.441 -16.524, 78.149 17.683 -16.524, 77.929 17.44 -16.524, 78.149 17.683 -16.524, 109.035 16.921 -16.524, 109.037 16.918 -16.524, 109.035 16.921 -16.524, 150.316 39.558 -16.524, 
150.316 39.558 -18.024, 109.035 16.921 -18.024, 109.037 16.918 -18.024, 109.035 16.921 -18.024, 78.149 17.683 -18.024, 77.929 17.44 -18.024, 78.149 17.683 -18.024, 66.328 46.441 -18.024, 
66.328 46.441 -19.524, 78.149 17.683 -19.524, 77.929 17.44 -19.524, 78.149 17.683 -19.524, 109.035 16.921 -19.524, 109.037 16.918 -19.524, 109.035 16.921 -19.524, 150.316 39.558 -19.524, 
